Estado|Fecha del Vuelo|Hora de Salida|Nueva Hora de Salida|Destino|Vuelo|Gate
EMBARQUE FINALIZADO|14/10/2024|01:00|01:00|LOS ANGELES|LA 2478|20
EMBARQUE FINALIZADO|14/10/2024|01:00|01:00|ASUNCION|LA 1321|11
EMBARQUE FINALIZADO|14/10/2024|01:15|00:45|MENDOZA|LA 2435|28
EMBARQUE FINALIZADO|14/10/2024|01:15|01:00|LA PAZ|LA 2400|B4
EMBARQUE FINALIZADO|14/10/2024|04:30|04:30|EL SALVADOR|AV 428|26
EMBARQUE FINALIZADO|14/10/2024|05:00|05:00|SANTIAGO|JA 7733|20
EMBARQUE FINALIZADO|14/10/2024|05:00|05:00|SANTO DOMINGO|DM 1965|22
EMBARQUE FINALIZADO|14/10/2024|06:25|06:25|MEXICO|Y4 3919|18
EMBARQUE FINALIZADO|14/10/2024|06:30|06:30|MIAMI|AA 1558|24
EMBARQUE FINALIZADO|14/10/2024|06:45|06:45|BOGOTA|AV 102|26
EMBARQUE FINALIZADO|14/10/2024|06:45|06:45|PANAMA|CM 436|25
EMBARQUE FINALIZADO|14/10/2024|07:00|07:00|PANAMA|CM 492|23
EMBARQUE FINALIZADO|14/10/2024|08:15|08:15|BOGOTA|LA 2384|20
EMBARQUE FINALIZADO|14/10/2024|08:40|08:40|SANTIAGO|LA 539|17
EMBARQUE FINALIZADO|14/10/2024|08:55|08:55|SANTIAGO|H2 803|25
EMBARQUE FINALIZADO|14/10/2024|08:55|08:55|CANCUN|LA 2458|18
EMBARQUE FINALIZADO|14/10/2024|08:55|08:55|PUNTA CANA|LA 2452|24
EMBARQUE FINALIZADO|14/10/2024|09:15|09:15|SANTIAGO|LA 535|22
EMBARQUE FINALIZADO|14/10/2024|09:20|09:20|SAO PAULO|LA 8040|27
EMBARQUE FINALIZADO|14/10/2024|09:25|09:25|GUAYAQUIL|LA 2416|23
EMBARQUE FINALIZADO|14/10/2024|09:35|09:35|SANTIAGO|LA 2697|15
EMBARQUE FINALIZADO|14/10/2024|09:45|09:45|CARTAGENA|JA 7780|33
EMBARQUE FINALIZADO|14/10/2024|09:55|09:55|CANCUN|H2 5553|26
EMBARQUE FINALIZADO|14/10/2024|10:00|10:00|PUNTA CANA|H2 5580|30
EMBARQUE FINALIZADO|14/10/2024|10:00|10:00|QUITO|LA 2382|32
EMBARQUE FINALIZADO|14/10/2024|10:20|10:20|MADRID|UX 176|21
EMBARQUE FINALIZADO|14/10/2024|10:35|10:35|BOGOTA|AV 050|18
EMBARQUE FINALIZADO|14/10/2024|10:40|10:40|CANCUN|LA 2454|25
EMBARQUE FINALIZADO|14/10/2024|11:40|11:40|MADRID|IB 6652|19
EMBARQUE FINALIZADO|14/10/2024|11:55|11:55|SANTIAGO|LA 651|25
EMBARQUE FINALIZADO|14/10/2024|12:00|12:00|LOS ANGELES|LA 534|22
EMBARQUE FINALIZADO|14/10/2024|12:00|12:00|ORANJESTAD|LA 2440|16
EMBARQUE FINALIZADO|14/10/2024|12:00|12:00|NUEVA YORK|LA 2690|17
EMBARQUE FINALIZADO|14/10/2024|12:00|12:00|ATLANTA|LA 2482|28
EMBARQUE FINALIZADO|14/10/2024|12:15|12:15|BUENOS AIRES|LA 2369|26
EMBARQUE FINALIZADO|14/10/2024|12:30|12:30|PUNTA CANA|LA 2450|18
EMBARQUE FINALIZADO|14/10/2024|12:45|12:45|CANCUN|LA 2456|19
EMBARQUE FINALIZADO|14/10/2024|12:45|12:45|SAN JOSE|LA 2408|30
EMBARQUE FINALIZADO|14/10/2024|12:45|12:45|CARTAGENA|LA 2390|23
EMBARQUE FINALIZADO|14/10/2024|12:55|12:55|MEDELLIN|LA 2392|16
EMBARQUE FINALIZADO|14/10/2024|13:10|13:10|PANAMA|CM 760|25
EMBARQUE FINALIZADO|14/10/2024|13:25|13:25|BOGOTA|LA 2386|17
EMBARQUE FINALIZADO|14/10/2024|13:25|13:25|SAO PAULO|LA 8203|15
EMBARQUE FINALIZADO|14/10/2024|13:30|13:30|MIAMI|LA 2694|21
EMBARQUE FINALIZADO|14/10/2024|14:50|14:50|BRASILIA|H2 5950|28
EMBARQUE FINALIZADO|14/10/2024|14:55|14:55|MEDELLIN|JA 7752|17
EMBARQUE FINALIZADO|14/10/2024|16:15|16:15|SANTIAGO|H2 5801|25
EMBARQUE FINALIZADO|14/10/2024|16:20|16:20|SANTIAGO|LA 641|18
EMBARQUE FINALIZADO|14/10/2024|16:35|16:35|PANAMA|CM 132|24
EMBARQUE FINALIZADO|14/10/2024|17:30|17:30|AMSTERDAM|KL 744|19
ÚLTIMO LLAMADO|14/10/2024|18:00|18:00|MADRID|PU 302|22
EMBARQUE FINALIZADO|14/10/2024|18:00|18:00|PARIS|AF 483|17
ÚLTIMO LLAMADO|14/10/2024|18:10|18:10|SANTIAGO|H2 801|25
CONFIRMADO|14/10/2024|18:40|18:40|BOGOTA|AV 052|26
LLAMADA|14/10/2024|18:40|18:40|SANTIAGO|LA 521|23
CONFIRMADO|14/10/2024|19:30|19:30|QUITO|JA 7722|24
CONFIRMADO|14/10/2024|20:00|20:00|MADRID|IB 6650|19
CONFIRMADO|14/10/2024|20:25|20:25|BUENOS AIRES|LA 2375|18
CONFIRMADO|14/10/2024|21:50|21:50|BUENOS AIRES|JA 3841|18
CONFIRMADO|14/10/2024|22:40|22:40|BUENOS AIRES|AR 1365|-
CONFIRMADO|14/10/2024|22:55|22:55|HOUSTON|UA 855|19
CONFIRMADO|14/10/2024|23:00|23:00|SANTIAGO|LA 524|-
